"dive number","date","time","duration","depth","temperature","pressure"
"7","2014-09-17","10:26:00","0:20","2.8",,
"7","2014-09-17","10:26:00","0:40","3.5",,
"7","2014-09-17","10:26:00","1:00","3.5",,
"7","2014-09-17","10:26:00","1:20","3.7",,
"7","2014-09-17","10:26:00","1:40","4.9",,
"7","2014-09-17","10:26:00","2:00","6.3",,
"7","2014-09-17","10:26:00","2:20","8.3",,
"7","2014-09-17","10:26:00","2:40","8.9",,
"7","2014-09-17","10:26:00","3:00","8.6",,
"7","2014-09-17","10:26:00","3:20","10.0",,
"7","2014-09-17","10:26:00","3:40","11.6",,
"7","2014-09-17","10:26:00","4:00","13.6",,
"7","2014-09-17","10:26:00","4:20","14.3",,
"7","2014-09-17","10:26:00","4:40","14.7",,
"7","2014-09-17","10:26:00","5:00","15.8",,
"7","2014-09-17","10:26:00","5:20","16.7",,
"7","2014-09-17","10:26:00","5:40","17.1",,
"7","2014-09-17","10:26:00","6:00","18.3",,
"7","2014-09-17","10:26:00","6:20","18.9",,
"7","2014-09-17","10:26:00","6:40","20.2",,
"7","2014-09-17","10:26:00","7:00","20.6",,
"7","2014-09-17","10:26:00","7:20","22.3",,
"7","2014-09-17","10:26:00","7:40","23.9",,
"7","2014-09-17","10:26:00","8:00","25.1",,
"7","2014-09-17","10:26:00","8:20","26.3",,
"7","2014-09-17","10:26:00","8:40","27.4",,
"7","2014-09-17","10:26:00","9:00","27.5",,
"7","2014-09-17","10:26:00","9:20","28.1",,
"7","2014-09-17","10:26:00","9:40","28.2",,
"7","2014-09-17","10:26:00","10:00","28.1",,
"7","2014-09-17","10:26:00","10:20","27.9",,
"7","2014-09-17","10:26:00","10:40","28.8",,
"7","2014-09-17","10:26:00","11:00","29.0",,
"7","2014-09-17","10:26:00","11:20","29.3",,
"7","2014-09-17","10:26:00","11:40","28.7",,
"7","2014-09-17","10:26:00","12:00","29.4",,
"7","2014-09-17","10:26:00","12:20","29.8",,
"7","2014-09-17","10:26:00","12:40","29.4",,
"7","2014-09-17","10:26:00","13:00","29.4",,
"7","2014-09-17","10:26:00","13:20","29.3",,
"7","2014-09-17","10:26:00","13:40","28.8",,
"7","2014-09-17","10:26:00","14:00","28.8",,
"7","2014-09-17","10:26:00","14:20","28.3",,
"7","2014-09-17","10:26:00","14:40","28.3",,
"7","2014-09-17","10:26:00","15:00","27.8",,
"7","2014-09-17","10:26:00","15:20","27.1",,
"7","2014-09-17","10:26:00","15:40","27.4",,
"7","2014-09-17","10:26:00","16:00","27.2",,
"7","2014-09-17","10:26:00","16:20","26.7",,
"7","2014-09-17","10:26:00","16:40","26.9",,
"7","2014-09-17","10:26:00","17:00","27.2",,
"7","2014-09-17","10:26:00","17:20","27.5",,
"7","2014-09-17","10:26:00","17:40","27.8",,
"7","2014-09-17","10:26:00","18:00","27.7",,
"7","2014-09-17","10:26:00","18:20","27.6",,
"7","2014-09-17","10:26:00","18:40","27.7",,
"7","2014-09-17","10:26:00","19:00","27.4",,
"7","2014-09-17","10:26:00","19:20","27.4",,
"7","2014-09-17","10:26:00","19:40","27.4",,
"7","2014-09-17","10:26:00","20:00","27.3",,
"7","2014-09-17","10:26:00","20:20","27.4",,
"7","2014-09-17","10:26:00","20:40","27.4",,
"7","2014-09-17","10:26:00","21:00","27.2",,
"7","2014-09-17","10:26:00","21:20","26.9",,
"7","2014-09-17","10:26:00","21:40","26.7",,
"7","2014-09-17","10:26:00","22:00","26.6",,
"7","2014-09-17","10:26:00","22:20","26.6",,
"7","2014-09-17","10:26:00","22:40","25.8",,
"7","2014-09-17","10:26:00","23:00","25.3",,
"7","2014-09-17","10:26:00","23:20","25.8",,
"7","2014-09-17","10:26:00","23:40","25.5",,
"7","2014-09-17","10:26:00","24:00","24.0",,
"7","2014-09-17","10:26:00","24:20","23.7",,
"7","2014-09-17","10:26:00","24:40","22.1",,
"7","2014-09-17","10:26:00","25:00","20.5",,
"7","2014-09-17","10:26:00","25:20","19.0",,
"7","2014-09-17","10:26:00","25:40","17.5",,
"7","2014-09-17","10:26:00","26:00","16.6",,
"7","2014-09-17","10:26:00","26:20","15.3",,
"7","2014-09-17","10:26:00","26:40","14.5",,
"7","2014-09-17","10:26:00","27:00","14.3",,
"7","2014-09-17","10:26:00","27:20","13.2",,
"7","2014-09-17","10:26:00","27:40","12.8",,
"7","2014-09-17","10:26:00","28:00","11.3",,
"7","2014-09-17","10:26:00","28:20","9.5",,
"7","2014-09-17","10:26:00","28:40","8.9",,
"7","2014-09-17","10:26:00","29:00","9.0",,
"7","2014-09-17","10:26:00","29:20","8.6",,
"7","2014-09-17","10:26:00","29:40","8.6",,
"7","2014-09-17","10:26:00","30:00","7.9",,
"7","2014-09-17","10:26:00","30:20","7.2",,
"7","2014-09-17","10:26:00","30:40","6.0",,
"7","2014-09-17","10:26:00","31:00","5.1",,
"7","2014-09-17","10:26:00","31:20","4.3",,
"7","2014-09-17","10:26:00","31:40","3.8",,
"7","2014-09-17","10:26:00","32:00","3.7",,
"7","2014-09-17","10:26:00","32:20","3.8",,
"7","2014-09-17","10:26:00","32:40","3.4",,
"7","2014-09-17","10:26:00","33:00","3.5",,
"7","2014-09-17","10:26:00","33:20","3.5",,
"7","2014-09-17","10:26:00","33:40","3.5",,
"7","2014-09-17","10:26:00","34:00","3.5",,
"7","2014-09-17","10:26:00","34:20","3.6",,
"7","2014-09-17","10:26:00","34:40","3.4",,
"7","2014-09-17","10:26:00","35:00","3.0",,
"7","2014-09-17","10:26:00","35:20","3.0",,
"7","2014-09-17","10:26:00","35:40","3.1",,
"7","2014-09-17","10:26:00","36:00","3.0",,
"7","2014-09-17","10:26:00","36:20","2.8",,
"7","2014-09-17","10:26:00","36:40","2.5",,
"7","2014-09-17","10:26:00","37:00","2.2",,
