"pure-name" global-time depth color-temp color-tint 
DSC03343 1410851281 19.73 56880 0.3440 1.5000 
DSC03344 1410851282 19.76 56964 0.3440 1.5000 
DSC03346 1410851366 20.33 58551 0.3440 1.5000 
DSC03349 1410851389 20.42 58802 0.3440 1.5000 
DSC03350 1410851439 21.63 59999 0.3344 1.5000 
DSC03352 1410851508 21.32 59999 0.3373 1.5000 
DSC03353 1410851527 21.57 59999 0.3349 1.5000 
DSC03355 1410851556 21.30 59999 0.3376 1.5000 
DSC03357 1410851575 21.72 59999 0.3338 1.5000 
DSC03358 1410851587 21.76 59999 0.3335 1.5000 
DSC03359 1410851600 21.5 59999 0.3354 1.5000 
DSC03361 1410851618 20.15 58050 0.3440 1.5000 
DSC03362 1410851627 20.04 57744 0.3440 1.5000 
DSC03364 1410851658 20.28 58412 0.3440 1.5000 
DSC03365 1410851677 21.32 59999 0.3373 1.5000 
DSC03366 1410851728 21.54 59999 0.3351 1.5000 
DSC03367 1410851738 21.09 59999 0.3406 1.5000 
DSC03368 1410851767 21.19 59999 0.3391 1.5000 
DSC03369 1410851770 21.10 59999 0.3404 1.5000 
DSC03371 1410851809 21.06 59999 0.3410 1.5000 
DSC03372 1410851855 22.13 59999 0.3309 1.5000 
DSC03373 1410851881 22.32 59999 0.3295 1.5000 
DSC03374 1410851900 22.8 59999 0.3261 1.5000 
DSC03375 1410851903 22.98 59999 0.3248 1.5000 
DSC03377 1410851930 23.55 59999 0.3207 1.5000 
DSC03378 1410851989 23.35 59999 0.3221 1.5000 
DSC03380 1410852007 22.41 59999 0.3289 1.5000 
DSC03381 1410852013 22.09 59999 0.3311 1.5000 
DSC03382 1410852014 22.03 59999 0.3316 1.5000 
DSC03384 1410852117 20.54 59136 0.3440 1.5000 
DSC03385 1410852125 20.35 58607 0.3440 1.5000 
DSC03386 1410852131 20.29 58440 0.3440 1.5000 
DSC03387 1410852134 20.26 58356 0.3440 1.5000 
DSC03388 1410852137 20.23 58273 0.3440 1.5000 
DSC03390 1410852165 19.68 56741 0.3440 1.5000 
DSC03391 1410852201 19.19 55377 0.3440 1.5000 
DSC03392 1410852229 18.68 53957 0.3440 1.5000 
DSC03393 1410852268 17.26 50003 0.3440 1.5000 
DSC03394 1410852284 16.82 48778 0.3440 1.5000 
DSC03395 1410852287 16.76 48611 0.3440 1.5000 
DSC03396 1410852311 16.39 47534 0.3479 1.5000 
DSC03397 1410852336 15.74 45545 0.3628 1.5000 
DSC03398 1410852339 15.64 45239 0.3651 1.5000 
DSC03399 1410852353 14.56 41934 0.3900 1.5000 
DSC03400 1410852357 14.24 40955 0.3973 1.5000 
DSC03404 1410852592 12.94 27136 0.4513 1.5000 
DSC03405 1410852599 12.91 26878 0.4523 1.5000 
DSC03406 1410852833 6.79 41481 0.3771 1.2216 
DSC03408 1410852858 6.04 44066 0.3700 1.2000 
DSC03410 1410852910 5.60 44066 0.3700 1.2000 
