"pure-name" global-time depth color-temp color-tint 
DSC03416 1410938865 5.25 9178 146  
DSC03419 1410938986 12.20 13011 194  
DSC03420 1410939000 13.6 13637 196  
DSC03422 1410939137 18.81 16035 197  
DSC03424 1410939151 19.61 16268 197  
DSC03426 1410939245 25.40 19831 199  
DSC03428 1410939265 26.57 19875 199  
DSC03429 1410939296 27.48 19910 199  
DSC03431 1410939347 28.16 19926 199  
DSC03434 1410939399 28.75 19937 199  
DSC03435 1410939405 28.85 19939 199  
DSC03436 1410939410 28.90 19940 199  
DSC03437 1410939412 28.92 19940 199  
DSC03438 1410939413 28.93 19940 199  
DSC03440 1410939476 29.26 19947 199  
DSC03442 1410939496 29.72 19955 199  
DSC03443 1410939502 29.76 19956 199  
DSC03445 1410939546 29.37 19949 199  
DSC03446 1410939548 29.36 19948 199  
DSC03447 1410939549 29.36 19948 199  
DSC03448 1410939552 29.34 19948 199  
DSC03449 1410939553 29.34 19948 199  
DSC03452 1410939579 28.82 19938 199  
DSC03453 1410939581 28.80 19938 199  
DSC03455 1410939610 28.55 19933 199  
DSC03456 1410939612 28.50 19932 199  
DSC03458 1410939625 28.30 19928 199  
DSC03459 1410939657 27.88 19920 199  
DSC03461 1410939687 27.21 19899 199  
DSC03463 1410939710 27.30 19903 199  
DSC03464 1410939721 27.18 19898 199  
DSC03465 1410939730 26.95 19889 199  
DSC03466 1410939732 26.90 19888 199  
DSC03467 1410939737 26.77 19883 199  
DSC03468 1410939739 26.72 19881 199  
DSC03469 1410939744 26.74 19882 199  
DSC03470 1410939745 26.75 19882 199  
DSC03471 1410939757 26.87 19886 199  
DSC03473 1410939769 27.04 19893 199  
DSC03474 1410939778 27.17 19898 199  
DSC03476 1410939873 27.66 19916 199  
DSC03477 1410939879 27.70 19917 199  
DSC03478 1410939880 27.7 19917 199  
DSC03479 1410939890 27.55 19912 199  
DSC03480 1410939892 27.52 19911 199  
DSC03481 1410939894 27.49 19910 199  
DSC03482 1410939907 27.40 19907 199  
DSC03484 1410939920 27.4 19907 199  
DSC03485 1410939937 27.40 19907 199  
DSC03488 1410939982 27.40 19907 199  
DSC03489 1410939984 27.40 19907 199  
DSC03490 1410940039 26.91 19888 199  
DSC03492 1410940067 26.66 19878 199  
DSC03495 1410940120 25.8 19846 199  
DSC03496 1410940148 25.50 19834 199  
DSC03497 1410940153 25.63 19839 199  
DSC03498 1410940154 25.65 19840 199  
DSC03499 1410940156 25.70 19842 199  
DSC03501 1410940180 25.5 19834 199  
DSC03502 1410940218 23.73 19767 198  
DSC03504 1410940264 20.20 16348 198  
DSC03506 1410940283 18.77 16015 197  
DSC03507 1410940285 18.63 15946 197  
DSC03509 1410940305 17.27 15273 197  
DSC03510 1410940311 17.00 15140 197  
DSC03512 1410940319 16.65 14967 197  
DSC03513 1410940366 14.44 13982 196  
DSC03514 1410940377 14.33 13937 196  
DSC03516 1410940415 12.90 13325 195  
DSC03518 1410940518 8.64 11902 177  
DSC03520 1410940529 8.60 11887 177  
DSC03521 1410940533 8.60 11887 177  
DSC03524 1410940766 3.50 7357 110  
DSC03525 1410940774 3.50 7357 110  
DSC03526 1410940793 3.50 7357 110  
DSC03528 1410940802 3.51 7358 110  
DSC03529 1410940811 3.56 7362 113  
