"pure-name" global-time min-depth max-depth estimated-depth depth 
DSC03416 1410938865 4.9 6.3 5.25 5.25 
DSC03419 1410938986 11.6 13.6 12.20 12.20 
DSC03420 1410939000 13.6 13.6 13.6 13.6 
DSC03422 1410939137 18.3 18.9 18.81 18.81 
DSC03424 1410939151 18.9 20.2 19.61 19.61 
DSC03426 1410939245 25.1 26.3 25.40 25.40 
DSC03428 1410939265 26.3 27.4 26.57 26.57 
DSC03429 1410939296 27.4 27.5 27.48 27.48 
DSC03431 1410939347 28.1 28.2 28.16 28.16 
DSC03434 1410939399 27.9 28.8 28.75 28.75 
DSC03435 1410939405 28.8 29.0 28.85 28.85 
DSC03436 1410939410 28.8 29.0 28.90 28.90 
DSC03437 1410939412 28.8 29.0 28.92 28.92 
DSC03438 1410939413 28.8 29.0 28.93 28.93 
DSC03440 1410939476 28.7 29.4 29.26 29.26 
DSC03442 1410939496 29.4 29.8 29.72 29.72 
DSC03443 1410939502 29.4 29.8 29.76 29.76 
DSC03445 1410939546 29.3 29.4 29.37 29.37 
DSC03446 1410939548 29.3 29.4 29.36 29.36 
DSC03447 1410939549 29.3 29.4 29.36 29.36 
DSC03448 1410939552 29.3 29.4 29.34 29.34 
DSC03449 1410939553 29.3 29.4 29.34 29.34 
DSC03452 1410939579 28.8 29.3 28.82 28.82 
DSC03453 1410939581 28.8 28.8 28.80 28.80 
DSC03455 1410939610 28.3 28.8 28.55 28.55 
DSC03456 1410939612 28.3 28.8 28.50 28.50 
DSC03458 1410939625 28.3 28.3 28.30 28.30 
DSC03459 1410939657 27.8 28.3 27.88 27.88 
DSC03461 1410939687 27.1 27.4 27.21 27.21 
DSC03463 1410939710 27.2 27.4 27.30 27.30 
DSC03464 1410939721 26.7 27.2 27.18 27.18 
DSC03465 1410939730 26.7 27.2 26.95 26.95 
DSC03466 1410939732 26.7 27.2 26.90 26.90 
DSC03467 1410939737 26.7 27.2 26.77 26.77 
DSC03468 1410939739 26.7 27.2 26.72 26.72 
DSC03469 1410939744 26.7 26.9 26.74 26.74 
DSC03470 1410939745 26.7 26.9 26.75 26.75 
DSC03471 1410939757 26.7 26.9 26.87 26.87 
DSC03473 1410939769 26.9 27.2 27.04 27.04 
DSC03474 1410939778 26.9 27.2 27.17 27.17 
DSC03476 1410939873 27.6 27.7 27.66 27.66 
DSC03477 1410939879 27.6 27.7 27.70 27.70 
DSC03478 1410939880 27.7 27.7 27.7 27.7 
DSC03479 1410939890 27.4 27.7 27.55 27.55 
DSC03480 1410939892 27.4 27.7 27.52 27.52 
DSC03481 1410939894 27.4 27.7 27.49 27.49 
DSC03482 1410939907 27.4 27.4 27.40 27.40 
DSC03484 1410939920 27.4 27.4 27.4 27.4 
DSC03485 1410939937 27.4 27.4 27.40 27.40 
DSC03488 1410939982 27.4 27.4 27.40 27.40 
DSC03489 1410939984 27.4 27.4 27.40 27.40 
DSC03490 1410940039 26.9 27.2 26.91 26.91 
DSC03492 1410940067 26.6 26.7 26.66 26.66 
DSC03495 1410940120 25.8 25.8 25.8 25.8 
DSC03496 1410940148 25.3 25.8 25.50 25.50 
DSC03497 1410940153 25.3 25.8 25.63 25.63 
DSC03498 1410940154 25.3 25.8 25.65 25.65 
DSC03499 1410940156 25.3 25.8 25.70 25.70 
DSC03501 1410940180 25.5 25.5 25.5 25.5 
DSC03502 1410940218 23.7 24.0 23.73 23.73 
DSC03504 1410940264 19.0 20.5 20.20 20.20 
DSC03506 1410940283 17.5 19.0 18.77 18.77 
DSC03507 1410940285 17.5 19.0 18.63 18.63 
DSC03509 1410940305 16.6 17.5 17.27 17.27 
DSC03510 1410940311 16.6 17.5 17.00 17.00 
DSC03512 1410940319 16.6 17.5 16.65 16.65 
DSC03513 1410940366 14.3 14.5 14.44 14.44 
DSC03514 1410940377 14.3 14.5 14.33 14.33 
DSC03516 1410940415 12.8 13.2 12.90 12.90 
DSC03518 1410940518 8.6 9.0 8.64 8.64 
DSC03520 1410940529 8.6 8.6 8.60 8.60 
DSC03521 1410940533 8.6 8.6 8.60 8.60 
DSC03524 1410940766 3.5 3.5 3.50 3.50 
DSC03525 1410940774 3.5 3.5 3.50 3.50 
DSC03526 1410940793 3.5 3.5 3.50 3.50 
DSC03528 1410940802 3.5 3.6 3.51 3.51 
DSC03529 1410940811 3.5 3.6 3.56 3.56 
