"dive number","date","time","duration","depth","temperature","pressure"
"5","2014-09-15","10:19:00","0:20","1.9",,
"5","2014-09-15","10:19:00","0:40","2.6",,
"5","2014-09-15","10:19:00","1:00","3.4",,
"5","2014-09-15","10:19:00","1:20","4.1",,
"5","2014-09-15","10:19:00","1:40","4.6",,
"5","2014-09-15","10:19:00","2:00","4.8",,
"5","2014-09-15","10:19:00","2:20","5.5",,
"5","2014-09-15","10:19:00","2:40","6.4",,
"5","2014-09-15","10:19:00","3:00","7.5",,
"5","2014-09-15","10:19:00","3:20","9.4",,
"5","2014-09-15","10:19:00","3:40","10.8",,
"5","2014-09-15","10:19:00","4:00","12.6",,
"5","2014-09-15","10:19:00","4:20","14.3",,
"5","2014-09-15","10:19:00","4:40","14.9",,
"5","2014-09-15","10:19:00","5:00","16.4",,
"5","2014-09-15","10:19:00","5:20","17.9",,
"5","2014-09-15","10:19:00","5:40","18.7",,
"5","2014-09-15","10:19:00","6:00","19.5",,
"5","2014-09-15","10:19:00","6:20","20.5",,
"5","2014-09-15","10:19:00","6:40","20.8",,
"5","2014-09-15","10:19:00","7:00","21.1",,
"5","2014-09-15","10:19:00","7:20","21.4",,
"5","2014-09-15","10:19:00","7:40","21.7",,
"5","2014-09-15","10:19:00","8:00","22.5",,
"5","2014-09-15","10:19:00","8:20","23.3",,
"5","2014-09-15","10:19:00","8:40","23.7",,
"5","2014-09-15","10:19:00","9:00","23.8",,
"5","2014-09-15","10:19:00","9:20","23.8",,
"5","2014-09-15","10:19:00","9:40","24.0",,
"5","2014-09-15","10:19:00","10:00","24.4",,
"5","2014-09-15","10:19:00","10:20","24.0",,
"5","2014-09-15","10:19:00","10:40","22.9",,
"5","2014-09-15","10:19:00","11:00","21.6",,
"5","2014-09-15","10:19:00","11:20","19.7",,
"5","2014-09-15","10:19:00","11:40","19.5",,
"5","2014-09-15","10:19:00","12:00","18.1",,
"5","2014-09-15","10:19:00","12:20","18.9",,
"5","2014-09-15","10:19:00","12:40","19.4",,
"5","2014-09-15","10:19:00","13:00","19.2",,
"5","2014-09-15","10:19:00","13:20","16.8",,
"5","2014-09-15","10:19:00","13:40","16.5",,
"5","2014-09-15","10:19:00","14:00","16.5",,
"5","2014-09-15","10:19:00","14:20","15.9",,
"5","2014-09-15","10:19:00","14:40","15.4",,
"5","2014-09-15","10:19:00","15:00","15.7",,
"5","2014-09-15","10:19:00","15:20","15.3",,
"5","2014-09-15","10:19:00","15:40","15.4",,
"5","2014-09-15","10:19:00","16:00","15.3",,
"5","2014-09-15","10:19:00","16:20","15.1",,
"5","2014-09-15","10:19:00","16:40","14.2",,
"5","2014-09-15","10:19:00","17:00","13.0",,
"5","2014-09-15","10:19:00","17:20","12.1",,
"5","2014-09-15","10:19:00","17:40","11.8",,
"5","2014-09-15","10:19:00","18:00","11.6",,
"5","2014-09-15","10:19:00","18:20","11.9",,
"5","2014-09-15","10:19:00","18:40","12.5",,
"5","2014-09-15","10:19:00","19:00","12.5",,
"5","2014-09-15","10:19:00","19:20","12.4",,
"5","2014-09-15","10:19:00","19:40","11.7",,
"5","2014-09-15","10:19:00","20:00","11.4",,
"5","2014-09-15","10:19:00","20:20","11.2",,
"5","2014-09-15","10:19:00","20:40","10.9",,
"5","2014-09-15","10:19:00","21:00","10.5",,
"5","2014-09-15","10:19:00","21:20","9.6",,
"5","2014-09-15","10:19:00","21:40","9.6",,
"5","2014-09-15","10:19:00","22:00","9.7",,
"5","2014-09-15","10:19:00","22:20","9.4",,
"5","2014-09-15","10:19:00","22:40","9.6",,
"5","2014-09-15","10:19:00","23:00","9.4",,
"5","2014-09-15","10:19:00","23:20","8.9",,
"5","2014-09-15","10:19:00","23:40","8.8",,
"5","2014-09-15","10:19:00","24:00","8.6",,
"5","2014-09-15","10:19:00","24:20","8.7",,
"5","2014-09-15","10:19:00","24:40","8.7",,
"5","2014-09-15","10:19:00","25:00","8.6",,
"5","2014-09-15","10:19:00","25:20","8.3",,
"5","2014-09-15","10:19:00","25:40","7.7",,
"5","2014-09-15","10:19:00","26:00","7.6",,
"5","2014-09-15","10:19:00","26:20","7.6",,
"5","2014-09-15","10:19:00","26:40","7.5",,
"5","2014-09-15","10:19:00","27:00","7.6",,
"5","2014-09-15","10:19:00","27:20","6.9",,
"5","2014-09-15","10:19:00","27:40","6.7",,
"5","2014-09-15","10:19:00","28:00","6.6",,
"5","2014-09-15","10:19:00","28:20","6.3",,
"5","2014-09-15","10:19:00","28:40","7.1",,
"5","2014-09-15","10:19:00","29:00","7.3",,
"5","2014-09-15","10:19:00","29:20","7.2",,
"5","2014-09-15","10:19:00","29:40","6.9",,
"5","2014-09-15","10:19:00","30:00","6.6",,
"5","2014-09-15","10:19:00","30:20","5.8",,
"5","2014-09-15","10:19:00","30:40","5.7",,
"5","2014-09-15","10:19:00","31:00","5.5",,
"5","2014-09-15","10:19:00","31:20","4.9",,
"5","2014-09-15","10:19:00","31:40","4.9",,
"5","2014-09-15","10:19:00","32:00","4.5",,
"5","2014-09-15","10:19:00","32:20","4.5",,
"5","2014-09-15","10:19:00","32:40","4.5",,
"5","2014-09-15","10:19:00","33:00","3.8",,
