"pure-name" global-time depth color-temp color-tint 
DSC03343 1410851281 19.73 51609 0.3778 1.5000 
DSC03344 1410851282 19.76 51772 0.3770 1.5000 
DSC03346 1410851366 20.33 54878 0.3634 1.5000 
DSC03349 1410851389 20.42 55368 0.3613 1.5000 
DSC03350 1410851439 21.63 60980 0.3367 1.5000 
DSC03352 1410851508 21.32 60135 0.3404 1.5000 
DSC03353 1410851527 21.57 60816 0.3374 1.5000 
DSC03355 1410851556 21.30 60081 0.3406 1.5000 
DSC03357 1410851575 21.72 61225 0.3356 1.5000 
DSC03358 1410851587 21.76 61334 0.3352 1.5000 
DSC03359 1410851600 21.5 60626 0.3383 1.5000 
DSC03361 1410851618 20.15 53897 0.3677 1.5000 
DSC03362 1410851627 20.04 53298 0.3704 1.5000 
DSC03364 1410851658 20.28 54605 0.3646 1.5000 
DSC03365 1410851677 21.32 60135 0.3404 1.5000 
DSC03366 1410851728 21.54 60735 0.3378 1.5000 
DSC03367 1410851738 21.09 59018 0.3453 1.5000 
DSC03368 1410851767 21.19 59563 0.3429 1.5000 
DSC03369 1410851770 21.10 59073 0.3451 1.5000 
DSC03371 1410851809 21.06 58855 0.3460 1.5000 
DSC03372 1410851855 22.13 62342 0.3307 1.5000 
DSC03373 1410851881 22.32 62859 0.3285 1.5000 
DSC03374 1410851900 22.8 64167 0.3227 1.5000 
DSC03375 1410851903 22.98 64657 0.3206 1.5000 
DSC03377 1410851930 23.55 66210 0.3138 1.5000 
DSC03378 1410851989 23.35 65665 0.3162 1.5000 
DSC03380 1410852007 22.41 63105 0.3274 1.5000 
DSC03381 1410852013 22.09 62233 0.3312 1.5000 
DSC03382 1410852014 22.03 62069 0.3319 1.5000 
DSC03384 1410852117 20.54 56022 0.3584 1.5000 
DSC03385 1410852125 20.35 54987 0.3630 1.5000 
DSC03386 1410852131 20.29 54660 0.3644 1.5000 
DSC03387 1410852134 20.26 54496 0.3651 1.5000 
DSC03388 1410852137 20.23 54333 0.3658 1.5000 
DSC03390 1410852165 19.68 51336 0.3790 1.5000 
DSC03391 1410852201 19.19 48667 0.3907 1.5000 
DSC03392 1410852229 18.68 45888 0.4028 1.5000 
DSC03393 1410852268 17.26 38203 0.4452 1.5000 
DSC03394 1410852284 16.82 35901 0.4712 1.5000 
DSC03395 1410852287 16.76 35588 0.4748 1.5000 
DSC03396 1410852311 16.39 33652 0.4966 1.5000 
DSC03397 1410852336 15.74 30251 0.5351 1.5000 
DSC03398 1410852339 15.64 29728 0.5410 1.5000 
DSC03399 1410852353 14.56 28660 0.5524 1.4778 
DSC03400 1410852357 14.24 29277 0.5451 1.4666 
DSC03404 1410852592 12.94 31784 0.5154 1.4214 
DSC03405 1410852599 12.91 31841 0.5147 1.4204 
DSC03406 1410852833 6.79 43642 0.3750 1.2076 
DSC03408 1410852858 6.04 44066 0.3700 1.2000 
DSC03410 1410852910 5.60 44066 0.3700 1.2000 
