"pure-name" global-time depth color-temp color-tint 
DSC03247 1410765618 4.03 15510 0.5215 1.0000 
DSC03250 1410765732 8.64 10424 0.6546 1.4892 
DSC03251 1410765755 10.45 12063 0.5513 1.5000 
DSC03253 1410765778 12.42 20614 0.4757 1.5000 
DSC03254 1410765828 15.50 43501 0.3668 1.5000 
DSC03256 1410765890 19.10 54310 0.3398 1.5000 
DSC03257 1410765893 19.22 54605 0.3396 1.5000 
DSC03259 1410765960 21.1 59236 0.3365 1.5000 
DSC03260 1410765970 21.25 59605 0.3363 1.5000 
DSC03262 1410766000 21.7 60356 0.3358 1.5000 
DSC03263 1410766002 21.78 60455 0.3357 1.5000 
DSC03264 1410766014 22.26 61046 0.3353 1.5000 
DSC03265 1410766017 22.38 61194 0.3352 1.5000 
DSC03266 1410766084 23.80 62942 0.3340 1.5000 
DSC03268 1410766119 23.99 63176 0.3339 1.5000 
DSC03270 1410766251 18.73 53398 0.3404 1.5000 
DSC03272 1410766286 19.05 54187 0.3399 1.5000 
DSC03273 1410766324 18.72 53374 0.3404 1.5000 
DSC03274 1410766330 18.00 51601 0.3416 1.5000 
DSC03276 1410766432 15.58 43844 0.3651 1.5000 
DSC03277 1410766461 15.31 42685 0.3709 1.5000 
DSC03278 1410766473 15.37 42942 0.3696 1.5000 
DSC03279 1410766477 15.39 43028 0.3692 1.5000 
DSC03281 1410766533 14.51 39248 0.3881 1.5000 
DSC03284 1410766671 12.50 21052 0.4741 1.5000 
DSC03285 1410766683 12.48 20943 0.4745 1.5000 
DSC03287 1410766770 11.05 13535 0.5155 1.5000 
DSC03288 1410766776 10.96 13096 0.5188 1.5000 
DSC03290 1410766833 9.60 10666 0.6085 1.5000 
DSC03291 1410766835 9.60 10666 0.6085 1.5000 
DSC03292 1410766849 9.64 10731 0.6058 1.5000 
DSC03294 1410766980 8.6 11249 0.6450 1.4820 
DSC03295 1410766984 8.62 10836 0.6498 1.4856 
DSC03296 1410766991 8.65 10217 0.6570 1.4910 
DSC03299 1410767150 7.55 30781 0.4129 1.3000 
DSC03300 1410767195 6.75 18225 0.5119 1.2164 
DSC03301 1410767223 6.55 27527 0.4447 1.1180 
DSC03304 1410767282 7.29 22335 0.4773 1.3000 
DSC03305 1410767283 7.29 22335 0.4773 1.3000 
DSC03306 1410767285 7.28 22011 0.4798 1.3000 
DSC03307 1410767286 7.27 21686 0.4823 1.3000 
DSC03308 1410767288 7.26 21361 0.4848 1.3000 
DSC03310 1410767302 7.17 18438 0.5071 1.3000 
DSC03311 1410767311 7.04 14215 0.5393 1.3000 
DSC03312 1410767316 6.96 11616 0.5591 1.3000 
DSC03313 1410767318 6.93 10642 0.5665 1.3000 
DSC03314 1410767319 6.92 10317 0.5690 1.3000 
DSC03315 1410767424 4.90 27427 0.4583 1.0000 
DSC03316 1410767446 4.78 25784 0.4671 1.0000 
DSC03318 1410767490 4.50 21948 0.4874 1.0000 
DSC03319 1410767493 4.50 21948 0.4874 1.0000 
DSC03320 1410767499 4.50 21948 0.4874 1.0000 
DSC03322 1410767526 3.83 13637 0.5650 1.0000 
DSC03323 1410767622 4.30 19209 0.5019 1.0000 
DSC03325 1410767636 4.30 19209 0.5019 1.0000 
DSC03326 1410767638 4.30 19209 0.5019 1.0000 
DSC03327 1410767640 4.3 19209 0.5019 1.0000 
DSC03328 1410767644 4.18 17565 0.5106 1.0000 
DSC03329 1410767646 4.12 16743 0.5150 1.0000 
DSC03331 1410767689 3.49 10616 0.6443 1.0000 
DSC03332 1410767694 3.54 11060 0.6327 1.0000 
DSC03334 1410767761 3.39 9727 0.6677 1.0000 
DSC03335 1410767763 3.37 9549 0.6723 1.0000 
DSC03337 1410767811 2.63 7226 0.7179 0.9922 
DSC03338 1410767869 2.46 6983 0.7196 0.9898 
DSC03339 1410767870 2.45 6969 0.7197 0.9897 
