"pure-name" global-time min-depth max-depth estimated-depth depth 
DSC03247 1410765618 3.4 4.1 4.03 4.03 
DSC03250 1410765732 7.5 9.4 8.64 8.64 
DSC03251 1410765755 9.4 10.8 10.45 10.45 
DSC03253 1410765778 10.8 12.6 12.42 12.42 
DSC03254 1410765828 14.9 16.4 15.50 15.50 
DSC03256 1410765890 18.7 19.5 19.10 19.10 
DSC03257 1410765893 18.7 19.5 19.22 19.22 
DSC03259 1410765960 21.1 21.1 21.1 21.1 
DSC03260 1410765970 21.1 21.4 21.25 21.25 
DSC03262 1410766000 21.7 21.7 21.7 21.7 
DSC03263 1410766002 21.7 22.5 21.78 21.78 
DSC03264 1410766014 21.7 22.5 22.26 22.26 
DSC03265 1410766017 21.7 22.5 22.38 22.38 
DSC03266 1410766084 23.8 23.8 23.80 23.80 
DSC03268 1410766119 23.8 24.0 23.99 23.99 
DSC03270 1410766251 18.1 19.5 18.73 18.73 
DSC03272 1410766286 18.9 19.4 19.05 19.05 
DSC03273 1410766324 16.8 19.2 18.72 18.72 
DSC03274 1410766330 16.8 19.2 18.00 18.00 
DSC03276 1410766432 15.4 15.7 15.58 15.58 
DSC03277 1410766461 15.3 15.4 15.31 15.31 
DSC03278 1410766473 15.3 15.4 15.37 15.37 
DSC03279 1410766477 15.3 15.4 15.39 15.39 
DSC03281 1410766533 14.2 15.1 14.51 14.51 
DSC03284 1410766671 12.5 12.5 12.50 12.50 
DSC03285 1410766683 12.4 12.5 12.48 12.48 
DSC03287 1410766770 10.9 11.2 11.05 11.05 
DSC03288 1410766776 10.9 11.2 10.96 10.96 
DSC03290 1410766833 9.6 9.6 9.60 9.60 
DSC03291 1410766835 9.6 9.6 9.60 9.60 
DSC03292 1410766849 9.6 9.7 9.64 9.64 
DSC03294 1410766980 8.6 8.6 8.6 8.6 
DSC03295 1410766984 8.6 8.7 8.62 8.62 
DSC03296 1410766991 8.6 8.7 8.65 8.65 
DSC03299 1410767150 7.5 7.6 7.55 7.55 
DSC03300 1410767195 6.7 6.9 6.75 6.75 
DSC03301 1410767223 6.3 6.6 6.55 6.55 
DSC03304 1410767282 7.2 7.3 7.29 7.29 
DSC03305 1410767283 7.2 7.3 7.29 7.29 
DSC03306 1410767285 7.2 7.3 7.28 7.28 
DSC03307 1410767286 7.2 7.3 7.27 7.27 
DSC03308 1410767288 7.2 7.3 7.26 7.26 
DSC03310 1410767302 6.9 7.2 7.17 7.17 
DSC03311 1410767311 6.9 7.2 7.04 7.04 
DSC03312 1410767316 6.9 7.2 6.96 6.96 
DSC03313 1410767318 6.9 7.2 6.93 6.93 
DSC03314 1410767319 6.9 7.2 6.92 6.92 
DSC03315 1410767424 4.9 4.9 4.90 4.90 
DSC03316 1410767446 4.5 4.9 4.78 4.78 
DSC03318 1410767490 4.5 4.5 4.50 4.50 
DSC03319 1410767493 4.5 4.5 4.50 4.50 
DSC03320 1410767499 4.5 4.5 4.50 4.50 
DSC03322 1410767526 3.8 3.9 3.83 3.83 
DSC03323 1410767622 4.3 4.3 4.30 4.30 
DSC03325 1410767636 4.3 4.3 4.30 4.30 
DSC03326 1410767638 4.3 4.3 4.30 4.30 
DSC03327 1410767640 4.3 4.3 4.3 4.3 
DSC03328 1410767644 3.7 4.3 4.18 4.18 
DSC03329 1410767646 3.7 4.3 4.12 4.12 
DSC03331 1410767689 3.4 3.6 3.49 3.49 
DSC03332 1410767694 3.4 3.6 3.54 3.54 
DSC03334 1410767761 3.2 3.4 3.39 3.39 
DSC03335 1410767763 3.2 3.4 3.37 3.37 
DSC03337 1410767811 2.4 2.9 2.63 2.63 
DSC03338 1410767869 2.4 2.5 2.46 2.46 
DSC03339 1410767870 2.4 2.5 2.45 2.45 
