"pure-name" global-time depth color-temp color-tint1 color-tint2 
DSC03417 1410938875 5.95 6610 0.7540 1.2000 
DSC03418 1410938971 10.88 7810 0.6020 1.5000 
DSC03421 1410939030 14.50 11613 0.5540 1.5000 
DSC03423 1410939144 19.16 56702 0.3240 1.5000 
DSC03425 1410939186 21.11 48767 0.3820 1.5000 
DSC03427 1410939248 25.58 56853 0.3600 1.5000 
DSC03430 1410939305 27.65 59999 0.3730 1.5000 
DSC03432 1410939352 28.14 57419 0.4130 1.5000 
DSC03433 1410939387 28.22 59999 0.3950 1.5000 
DSC03439 1410939421 29.02 59999 0.3900 1.5000 
DSC03441 1410939480 29.4 55795 0.4400 1.5000 
DSC03444 1410939506 29.68 59999 0.4060 1.5000 
DSC03450 1410939556 29.32 59999 0.4100 1.5000 
DSC03451 1410939558 29.31 59999 0.4040 1.5000 
DSC03454 1410939588 28.80 59999 0.4160 1.5000 
DSC03457 1410939618 28.35 59999 0.4150 1.5000 
DSC03460 1410939663 27.70 59999 0.3920 1.5000 
DSC03462 1410939690 27.25 59999 0.3940 1.5000 
DSC03472 1410939762 26.93 59999 0.3850 1.5000 
DSC03475 1410939810 27.65 59999 0.3830 1.5000 
DSC03483 1410939909 27.40 59999 0.3920 1.5000 
DSC03486 1410939941 27.40 59999 0.4030 1.5000 
DSC03487 1410939976 27.38 59999 0.3950 1.5000 
DSC03491 1410940042 26.88 59999 0.3960 1.5000 
DSC03493 1410940070 26.65 59999 0.3880 1.5000 
DSC03494 1410940114 26.04 59999 0.3850 1.5000 
DSC03500 1410940160 25.8 59999 0.3740 1.5000 
DSC03503 1410940228 23.06 59999 0.3720 1.5000 
DSC03505 1410940269 19.82 59999 0.3570 1.5000 
DSC03508 1410940289 18.32 59999 0.3330 1.5000 
DSC03511 1410940313 16.91 59999 0.3310 1.5000 
DSC03515 1410940402 13.16 37397 0.3990 1.5000 
DSC03517 1410940500 9.0 10278 0.5460 1.5000 
DSC03519 1410940521 8.60 8898 0.6220 1.5000 
DSC03522 1410940568 7.62 9196 0.6190 1.5000 
DSC03523 1410940754 3.50 7640 0.6830 1.2000 
DSC03527 1410940796 3.50 7416 0.7110 1.2000 
