"pure-name" global-time depth color-temp color-tint 
DSC03416 1410938865 5.25 8172 0.6719 1.3274 
DSC03419 1410938986 12.20 31139 0.4329 1.5000 
DSC03420 1410939000 13.6 38122 0.3989 1.5000 
DSC03422 1410939137 18.81 46705 0.3978 1.5000 
DSC03424 1410939151 19.61 48023 0.3976 1.5000 
DSC03426 1410939245 25.40 57561 0.3963 1.5000 
DSC03428 1410939265 26.57 59488 0.3961 1.5000 
DSC03429 1410939296 27.48 59999 0.3919 1.5000 
DSC03431 1410939347 28.16 59999 0.3911 1.5000 
DSC03434 1410939399 28.75 59999 0.3903 1.5000 
DSC03435 1410939405 28.85 59999 0.3902 1.5000 
DSC03436 1410939410 28.90 59999 0.3901 1.5000 
DSC03437 1410939412 28.92 59999 0.3901 1.5000 
DSC03438 1410939413 28.93 59999 0.3901 1.5000 
DSC03440 1410939476 29.26 59999 0.3899 1.5000 
DSC03442 1410939496 29.72 59999 0.3896 1.5000 
DSC03443 1410939502 29.76 59999 0.3895 1.5000 
DSC03445 1410939546 29.37 59999 0.3898 1.5000 
DSC03446 1410939548 29.36 59999 0.3898 1.5000 
DSC03447 1410939549 29.36 59999 0.3898 1.5000 
DSC03448 1410939552 29.34 59999 0.3898 1.5000 
DSC03449 1410939553 29.34 59999 0.3898 1.5000 
DSC03452 1410939579 28.82 59999 0.3902 1.5000 
DSC03453 1410939581 28.80 59999 0.3903 1.5000 
DSC03455 1410939610 28.55 59999 0.3906 1.5000 
DSC03456 1410939612 28.50 59999 0.3906 1.5000 
DSC03458 1410939625 28.30 59999 0.3909 1.5000 
DSC03459 1410939657 27.88 59999 0.3914 1.5000 
DSC03461 1410939687 27.21 59999 0.3935 1.5000 
DSC03463 1410939710 27.30 59999 0.3928 1.5000 
DSC03464 1410939721 27.18 59999 0.3937 1.5000 
DSC03465 1410939730 26.95 59999 0.3955 1.5000 
DSC03466 1410939732 26.90 59999 0.3958 1.5000 
DSC03467 1410939737 26.77 59818 0.3960 1.5000 
DSC03468 1410939739 26.72 59735 0.3960 1.5000 
DSC03469 1410939744 26.74 59768 0.3960 1.5000 
DSC03470 1410939745 26.75 59785 0.3960 1.5000 
DSC03471 1410939757 26.87 59983 0.3960 1.5000 
DSC03473 1410939769 27.04 59999 0.3948 1.5000 
DSC03474 1410939778 27.17 59999 0.3938 1.5000 
DSC03476 1410939873 27.66 59999 0.3917 1.5000 
DSC03477 1410939879 27.70 59999 0.3916 1.5000 
DSC03478 1410939880 27.7 59999 0.3916 1.5000 
DSC03479 1410939890 27.55 59999 0.3918 1.5000 
DSC03480 1410939892 27.52 59999 0.3919 1.5000 
DSC03481 1410939894 27.49 59999 0.3919 1.5000 
DSC03482 1410939907 27.40 59999 0.3920 1.5000 
DSC03484 1410939920 27.4 59999 0.3920 1.5000 
DSC03485 1410939937 27.40 59999 0.3920 1.5000 
DSC03488 1410939982 27.40 59999 0.3920 1.5000 
DSC03489 1410939984 27.40 59999 0.3920 1.5000 
DSC03490 1410940039 26.91 59999 0.3958 1.5000 
DSC03492 1410940067 26.66 59637 0.3960 1.5000 
DSC03495 1410940120 25.8 58220 0.3962 1.5000 
DSC03496 1410940148 25.50 57726 0.3963 1.5000 
DSC03497 1410940153 25.63 57940 0.3963 1.5000 
DSC03498 1410940154 25.65 57973 0.3963 1.5000 
DSC03499 1410940156 25.70 58055 0.3963 1.5000 
DSC03501 1410940180 25.5 57726 0.3963 1.5000 
DSC03502 1410940218 23.73 54810 0.3967 1.5000 
DSC03504 1410940264 20.20 48995 0.3975 1.5000 
DSC03506 1410940283 18.77 46639 0.3978 1.5000 
DSC03507 1410940285 18.63 46408 0.3978 1.5000 
DSC03509 1410940305 17.27 44168 0.3981 1.5000 
DSC03510 1410940311 17.00 43723 0.3982 1.5000 
DSC03512 1410940319 16.65 43146 0.3982 1.5000 
DSC03513 1410940366 14.44 39506 0.3987 1.5000 
DSC03514 1410940377 14.33 39324 0.3987 1.5000 
DSC03516 1410940415 12.90 35702 0.4082 1.5000 
DSC03518 1410940518 8.64 9996 0.5650 1.5000 
DSC03520 1410940529 8.60 9964 0.5672 1.5000 
DSC03521 1410940533 8.60 9964 0.5672 1.5000 
DSC03524 1410940766 3.50 7416 0.7110 1.2000 
DSC03525 1410940774 3.50 7416 0.7110 1.2000 
DSC03526 1410940793 3.50 7416 0.7110 1.2000 
DSC03528 1410940802 3.51 7420 0.7108 1.2007 
DSC03529 1410940811 3.56 7442 0.7097 1.2044 
