pure-name global-time depth color-temp color-tint1 color-tint2 
DSC03527 1410940796 3.50 7416 0.7110 1.2000 
DSC03522 1410940568 7.62 9196 0.6190 1.5000 
DSC03517 1410940500 9.0 10278 0.5460 1.5000 
DSC03515 1410940402 13.16 37397 0.3990 1.5000 
DSC03491 1410940042 26.88 59999 0.3960 1.5000 
DSC03483 1410939909 27.40 59999 0.3920 1.5000 
DSC03439 1410939421 29.02 59999 0.3900 1.5000 
