"pure-name" global-time depth color-temp color-tint 
DSC03190 1410681599 4.48 8887 141  
DSC03191 1410681611 4.61 8937 142  
DSC03192 1410681642 4.42 8863 140  
DSC03193 1410681646 4.46 8879 141  
DSC03194 1410681648 4.48 8887 141  
DSC03197 1410681788 12.70 13169 194  
DSC03199 1410681813 14.29 13876 197  
DSC03202 1410681926 19.37 16049 202  
DSC03204 1410681980 20.9 16470 202  
DSC03205 1410681981 20.88 16465 202  
DSC03206 1410681984 20.82 16451 202  
DSC03207 1410681998 20.54 16382 202  
DSC03208 1410682090 20.90 16470 202  
DSC03209 1410682092 20.92 16475 202  
DSC03210 1410682093 20.93 16478 202  
DSC03211 1410682124 19.90 16224 202  
DSC03213 1410682149 18.65 15695 201  
DSC03215 1410682295 15.73 14377 199  
DSC03216 1410682316 14.96 14109 198  
DSC03217 1410682328 14.84 14067 198  
DSC03218 1410682355 14.23 13855 197  
DSC03219 1410682379 13.62 13643 196  
DSC03220 1410682384 13.58 13629 196  
DSC03221 1410682392 13.54 13608 196  
DSC03222 1410682393 13.54 13608 196  
DSC03223 1410682397 13.52 13598 196  
DSC03226 1410682609 6.79 9800 167  
DSC03227 1410682613 6.83 9847 168  
DSC03229 1410682707 6.90 9930 170  
DSC03230 1410682710 6.85 9871 169  
DSC03231 1410682712 6.82 9836 168  
DSC03232 1410682714 6.79 9800 167  
DSC03234 1410682781 4.46 8879 141  
DSC03235 1410682784 4.36 8840 140  
DSC03237 1410682830 4.50 8894 141  
DSC03238 1410682832 4.56 8918 141  
DSC03240 1410682879 4.71 8976 143  
DSC03241 1410682894 4.77 8998 143  
DSC03243 1410682997 3.20 8106 128  
DSC03244 1410683014 2.99 8054 128  
